'ab04f56,Stefan Wintermeyer,3 months ago,Display a different form for registration (less fields).'
'f65bafd,Stefan Wintermeyer,3 months ago,Adds select field for gender.'
'231e5bc,Stefan Wintermeyer,3 months ago,Refactoring. Using full_name(user) helper in the navigation bar now.'
'ae198a8,Stefan Wintermeyer,3 months ago,Downcase entered email address at log in.'
'fca1c2c,Stefan Wintermeyer,3 months ago,Deactivate a couple of tests.'
'8550790,Stefan Wintermeyer,3 months ago,Adds basic authentification.'
'719327f,Stefan Wintermeyer,3 months ago,Adds basic email scaffold. closes #9'
'7ddb861,Stefan Wintermeyer,3 months ago,Only display attributes which are not nil.'
'813f370,Stefan Wintermeyer,3 months ago,Adds on_delete: :delete_all to all has_many in the User model.'
'77f9d9b,Stefan Wintermeyer,3 months ago,Display full_name(user) as the HTML title of users#show'
'0a5b4f2,Stefan Wintermeyer,3 months ago,Fixes a test.'
'24f29cb,Stefan Wintermeyer,3 months ago,Displays the number of users on the index page.'
'981fa53,Stefan Wintermeyer,3 months ago,Adds OS X related .gitignore stuff.'
'f02c0a1,Stefan Wintermeyer,3 months ago,Adds the vutuv logo in the top navigation.'
'a8715f2,Stefan Wintermeyer,3 months ago,Adds seeds => mix run priv/repo/seeds.exs'
'045ff8f,Stefan Wintermeyer,3 months ago,Refactored full_name. DRY. closes #23'
'87f5fca,Stefan Wintermeyer,3 months ago,Display full_name'
'4c5259b,Stefan Wintermeyer,3 months ago,Adds basic follower functionality. closes #19'
'abd9b39,Stefan Wintermeyer,3 months ago,Connection model'
'41f8590,Stefan Wintermeyer,3 months ago,Adds basic group functionality. closes #20'
'3e8cca6,Stefan Wintermeyer,3 months ago,Fixes display of avatar in user#show. closes #15'
'0040c15,Stefan Wintermeyer,3 months ago,Fixes a test. closes #18'
'1a3a75d,Stefan Wintermeyer,3 months ago,Changes the User controller test. Still doesn't work. :-('
'c50f146,Stefan Wintermeyer,3 months ago,Improves User model and test.'
'c920aa2,Stefan Wintermeyer,3 months ago,Adds a full_name view to concatenate first_name, last_name + honorific data.'
'e3b77d5,Stefan Wintermeyer,3 months ago,Adds avatar upload functionality for model user. closes #14'
'9ad8a94,Stefan Wintermeyer,3 months ago,Implement i18n for the user scaffold. closes #12'
'f69166e,Stefan Wintermeyer,3 months ago,Validation that a user has a first_name or last_name or nickname. closes #10'
'2e4d1bb,Stefan Wintermeyer,3 months ago,Merge branch 'master' of github.com:vutuv/vutuv'
'555c754,Stefan Wintermeyer,3 months ago,Add a varified attribute to the user model.'
'ae5cc34,Stefan Wintermeyer,3 months ago,added npm install'
'b4cd471,Stefan Wintermeyer,3 months ago,Created a User scaffold. closes #8'
'bee0c9e,Stefan Wintermeyer,3 months ago,Created a user scaffold. closes #8'
'c22c82a,Stefan Wintermeyer,3 months ago,Updated README.md'
'eca2329,Stefan Wintermeyer,3 months ago,Adds Travis CI Build Status Badge'
'abe4569,Stefan Wintermeyer,3 months ago,Upgrade misc.'
'b651abc,Stefan Wintermeyer,3 months ago,Upgrade Phoenix to 1.2'
'e601c64,Stefan Wintermeyer,3 months ago,Updated Phoenix.'
'a6fc661,Stefan Wintermeyer,3 months ago,Bugfix. Added pool: Ecto.Adapters.SQL.Sandbox'
'161264a,Stefan Wintermeyer,3 months ago,Added mix deps.get to the README.md'
'e0ae4ed,Stefan Wintermeyer,3 months ago,Use the MySQL adapter. Don't forget to "mix do deps.get, compile". closes #1'
'a7de2b6,Stefan Wintermeyer,3 months ago,Merge branch 'master' of github.com:vutuv/vutuv'
'5555a1a,Stefan Wintermeyer,3 months ago,Added Travis CI configuration.'
'4bce249,Stefan Wintermeyer,3 months ago,Merge pull request #2 from waffle-iron/master'
'3207fbb,Making GitHub Delicious,3 months ago,add waffle.io badge'
'8fccf52,Stefan Wintermeyer,3 months ago,Created a new Phoenix project.'
'c9e6afc,Stefan Wintermeyer,3 months ago,Initial commit'
